Euclidean binary precision,Euclidean binary recall,Euclidean binary F-measure,Euclidean Term Frequency precision,Euclidean Term Frequency recall,Euclidean Term Frequency F-measure,Euclidean TF-IDF precision,Euclidean TF-IDF recall,Euclidean TF-IDF F-measure,Cosine binary precision,Cosine binary recall,Cosine binary F-measure,Cosine Term Frequency precision,Cosine Term Frequency recall,Cosine Term Frequency F-measure,Cosine TF-IDF precision,Cosine TF-IDF recall,Cosine TF-IDF F-measure,"
"
0.0,0.0,0,0.1,0.25,0.14285714285714288,0.15,0.375,0.21428571428571425,0.05,0.125,0.07142857142857144,0.1,0.25,0.14285714285714288,0.15,0.375,0.21428571428571425,"
"
0.0,0.0,0,0.05,0.16666666666666666,0.07692307692307691,0.2,0.6666666666666666,0.30769230769230765,0.1,0.3333333333333333,0.15384615384615383,0.0,0.0,0,0.2,0.6666666666666666,0.30769230769230765,"
"
0.0,0.0,0,0.0,0.0,0,0.05,0.2,0.08000000000000002,0.05,0.2,0.08000000000000002,0.0,0.0,0,0.05,0.2,0.08000000000000002,"
"
0.0,0.0,0,0.05,0.3333333333333333,0.08695652173913045,0.05,0.3333333333333333,0.08695652173913045,0.05,0.3333333333333333,0.08695652173913045,0.05,0.3333333333333333,0.08695652173913045,0.05,0.3333333333333333,0.08695652173913045,"
"
0.0,0.0,0,0.05,0.3333333333333333,0.08695652173913045,0.1,0.6666666666666666,0.1739130434782609,0.1,0.6666666666666666,0.1739130434782609,0.05,0.3333333333333333,0.08695652173913045,0.1,0.6666666666666666,0.1739130434782609,"
"
0.0,0.0,0,0.1,0.5,0.16666666666666669,0.15,0.75,0.24999999999999997,0.1,0.5,0.16666666666666669,0.15,0.75,0.24999999999999997,0.15,0.75,0.24999999999999997,"
"
0.0,0.0,0,0.05,0.3333333333333333,0.08695652173913045,0.1,0.6666666666666666,0.1739130434782609,0.05,0.3333333333333333,0.08695652173913045,0.1,0.6666666666666666,0.1739130434782609,0.1,0.6666666666666666,0.1739130434782609,"
"
0.0,0.0,0,0.1,0.5,0.16666666666666669,0.1,0.5,0.16666666666666669,0.05,0.25,0.08333333333333334,0.1,0.5,0.16666666666666669,0.1,0.5,0.16666666666666669,"
"
0.0,0.0,0,0.05,0.1,0.06666666666666667,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,"
"
0.0,0.0,0,0.1,0.2,0.13333333333333333,0.4,0.8,0.5333333333333333,0.25,0.5,0.3333333333333333,0.15,0.3,0.2,0.4,0.8,0.5333333333333333,"
"
0.1,0.4,0.16000000000000003,0.05,0.2,0.08000000000000002,0.15,0.6,0.24,0.1,0.4,0.16000000000000003,0.1,0.4,0.16000000000000003,0.15,0.6,0.24,"
"
0.05,0.5,0.09090909090909091,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,"
"
0.0,0.0,0,0.05,0.030303030303030304,0.03773584905660378,0.25,0.15151515151515152,0.18867924528301888,0.05,0.030303030303030304,0.03773584905660378,0.05,0.030303030303030304,0.03773584905660378,0.25,0.15151515151515152,0.18867924528301888,"
"
0.0,0.0,0,0.0,0.0,0,0.1,0.5,0.16666666666666669,0.0,0.0,0,0.0,0.0,0,0.1,0.5,0.16666666666666669,"
"
0.0,0.0,0,0.2,0.4,0.26666666666666666,0.35,0.7,0.4666666666666667,0.05,0.1,0.06666666666666667,0.15,0.3,0.2,0.4,0.8,0.5333333333333333,"
"
0.0,0.0,0,0.05,0.14285714285714285,0.07407407407407408,0.05,0.14285714285714285,0.07407407407407408,0.05,0.14285714285714285,0.07407407407407408,0.0,0.0,0,0.05,0.14285714285714285,0.07407407407407408,"
"
0.0,0.0,0,0.0,0.0,0,0.15,0.75,0.24999999999999997,0.0,0.0,0,0.0,0.0,0,0.15,0.75,0.24999999999999997,"
"
0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,"
"
0.05,0.1,0.06666666666666667,0.0,0.0,0,0.3,0.6,0.4,0.25,0.5,0.3333333333333333,0.0,0.0,0,0.3,0.6,0.4,"
"
0.0,0.0,0,0.05,0.125,0.07142857142857144,0.1,0.25,0.14285714285714288,0.1,0.25,0.14285714285714288,0.05,0.125,0.07142857142857144,0.1,0.25,0.14285714285714288,"
"
0.0,0.0,0,0.0,0.0,0,0.05,0.5,0.09090909090909091,0.0,0.0,0,0.0,0.0,0,0.05,0.5,0.09090909090909091,"
"
0.0,0.0,0,0.1,0.2857142857142857,0.14814814814814817,0.1,0.2857142857142857,0.14814814814814817,0.1,0.2857142857142857,0.14814814814814817,0.1,0.2857142857142857,0.14814814814814817,0.1,0.2857142857142857,0.14814814814814817,"
"
0.0,0.0,0,0.15,0.75,0.24999999999999997,0.2,1.0,0.33333333333333337,0.2,1.0,0.33333333333333337,0.15,0.75,0.24999999999999997,0.2,1.0,0.33333333333333337,"
"
0.0,0.0,0,0.2,0.5714285714285714,0.29629629629629634,0.25,0.7142857142857143,0.37037037037037035,0.2,0.5714285714285714,0.29629629629629634,0.15,0.42857142857142855,0.2222222222222222,0.25,0.7142857142857143,0.37037037037037035,"
"
